eFUA_name,Cntry_name,Shape_Leng,Shape_Area,POP_SUM,GDP_SUM,EC_SUM,BS_SUM,BV_SUM,CO2_SUM,POV_MEAN,BV_BS,CO2_POP
Panama City,Panama,4000.00000000000,1000000.00000000000,0.00000000000,30.88000000000,3993520.25000000000,6171.00000000000,15432.00000000000,242.87000000000,61.00000000000,2.50073000000,0.00000000000
Panama City,Panama,4000.00000000000,1000000.00000000000,2193.00000000000,21.44000000000,2772915.75000000000,165766.00000000000,1075736.00000000000,906.54000000000,18.71000000000,6.48949000000,0.41337900000
David,Panama,4000.00000000000,1000000.00000000000,1.00000000000,6.28000000000,812088.81000000006,34148.00000000000,166515.00000000000,142.65000000000,65.39000000000,4.87627000000,142.65000000000
Nuevo Arraiján,Panama,4000.00000000000,1000000.00000000000,21.00000000000,0.47000000000,60514.86000000000,31339.00000000000,78361.00000000000,81.44000000000,44.45000000000,2.50043000000,3.87810000000
Colón,Panama,3876.12604300000,350134.55487599998,0.00000000000,0.37000000000,47493.74000000000,0.00000000000,0.00000000000,38.77000000000,0.00000000000,0.00000000000,0.00000000000
Nuevo Arraiján,Panama,4000.00000000000,1000000.00000000000,132.00000000000,31.78000000000,4110641.00000000000,22182.00000000000,63903.00000000000,401.83000000000,36.56000000000,2.88085000000,3.04417000000
David,Panama,4000.00000000000,1000000.00000000000,17.00000000000,3.58000000000,463065.88000000000,5021.00000000000,12555.00000000000,95.65000000000,39.75000000000,2.50050000000,5.62647000000
David,Panama,4000.00000000000,1000000.00000000000,0.00000000000,0.31000000000,40574.19000000000,0.00000000000,0.00000000000,61.62000000000,71.64000000000,0.00000000000,0.00000000000
David,Panama,4000.00000000000,1000000.00000000000,0.00000000000,0.37000000000,47493.74000000000,0.00000000000,0.00000000000,40.47000000000,0.00000000000,0.00000000000,0.00000000000
Panama City,Panama,4000.00000000000,1000000.00000000000,1.00000000000,18.55000000000,2398821.75000000000,202414.00000000000,1028755.00000000000,210.72000000000,51.60000000000,5.08243000000,210.72000000000
David,Panama,4000.00000000000,1000000.00000000000,0.00000000000,0.37000000000,47493.74000000000,0.00000000000,0.00000000000,42.65000000000,0.00000000000,0.00000000000,0.00000000000
David,Panama,4000.00000000000,1000000.00000000000,2981.00000000000,33.05000000000,4274127.50000000000,167518.00000000000,1263021.00000000000,484.79000000000,11.19000000000,7.53961000000,0.16262700000
David,Panama,4000.00000000000,1000000.00000000000,0.00000000000,0.37000000000,47493.74000000000,1681.00000000000,4204.00000000000,33.48000000000,66.31000000000,2.50089000000,0.00000000000
David,Panama,4000.00000000000,1000000.00000000000,236.00000000000,1.18000000000,152900.54999999999,19392.00000000000,48486.00000000000,57.39000000000,45.95000000000,2.50031000000,0.24317800000
Nuevo Arraiján,Panama,4000.00000000000,1000000.00000000000,132.00000000000,0.79000000000,102217.88000000000,36841.00000000000,161690.00000000000,84.73000000000,44.76000000000,4.38886000000,0.64189400000
Nuevo Arraiján,Panama,4000.00000000000,1000000.00000000000,184.00000000000,39.23000000000,5074165.00000000000,29692.00000000000,74734.00000000000,742.16000000000,15.45000000000,2.51697000000,4.03348000000
David,Panama,4000.00000000000,1000000.00000000000,536.00000000000,0.37000000000,47435.91000000000,45774.00000000000,114445.00000000000,40.63000000000,58.93000000000,2.50022000000,0.07580220000
David,Panama,4000.00000000000,1000000.00000000000,171.00000000000,26.13000000000,3379505.75000000000,55700.00000000000,139370.00000000000,308.07000000000,40.56000000000,2.50215000000,1.80158000000
David,Panama,4073.37016583000,901408.75976100005,38.00000000000,1.76000000000,112861.73000000000,62014.00000000000,162532.00000000000,39.35000000000,52.62000000000,2.62089000000,1.03553000000
David,Panama,4000.00000000000,1000000.00000000000,2714.00000000000,20.18000000000,2610453.50000000000,122408.00000000000,597334.00000000000,438.83000000000,11.19000000000,4.87986000000,0.16169100000
Nuevo Arraiján,Panama,4060.45040260000,881777.77099500003,5.00000000000,6.78000000000,877110.06000000006,2030.00000000000,5077.00000000000,0.00000000000,68.35000000000,2.50099000000,0.00000000000
David,Panama,4000.00000000000,1000000.00000000000,0.00000000000,0.66000000000,84865.14999999999,0.00000000000,0.00000000000,40.22000000000,70.94000000000,0.00000000000,0.00000000000
David,Panama,4000.00000000000,1000000.00000000000,1.00000000000,0.36000000000,46605.85000000000,0.00000000000,0.00000000000,54.10000000000,0.00000000000,0.00000000000,54.10000000000
Colón,Panama,3124.78645199000,398796.95698700001,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
Panama City,Panama,4000.00000000000,1000000.00000000000,4165.00000000000,48.33000000000,6250548.00000000000,381946.00000000000,3118424.00000000000,1156.96000000000,12.15000000000,8.16457000000,0.27778200000
Panama City,Panama,4065.54301770000,953697.11613099999,984.00000000000,0.00000000000,0.00000000000,90640.00000000000,919634.00000000000,1355.03000000000,9.35000000000,10.14600000000,1.37706000000
David,Panama,4000.00000000000,1000000.00000000000,7.00000000000,1.18000000000,152328.35999999999,15138.00000000000,37848.00000000000,56.27000000000,0.00000000000,2.50020000000,8.03857000000
David,Panama,4000.00000000000,1000000.00000000000,2.00000000000,0.63000000000,81724.20000000000,33.00000000000,83.00000000000,70.62000000000,66.49000000000,2.51515000000,35.31000000000
Panama City,Panama,3091.34679127000,545668.19999899995,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,162.05000000000,0.00000000000,0.00000000000,0.00000000000
